lon lat depth 0
-112.936 41.42 5.48 0.288
-111.221 39.2832 8.56 0.276
-111.026 44.8803 4.98 0.016
-112.93 41.4228 6.47 0.214
-111.104 39.3905 6.64 0.31
-111.306 44.8407 8.1 0.164
-111.227 39.2903 9.38 0.284
-111.1 39.4122 7.9 0.338
-110.941 44.7183 12.57 0.086
-111.014 44.8828 9.68 0.076
-110.939 44.719 12.7 0.028
-110.944 44.7197 13.81 0.086
-111.159 44.8228 2.95 -0.056
-111.354 38.9637 2.42 0.334
-111.403 38.9603 2.64 0.378
-111.148 39.445 8.69 0.284
-112.902 36.8968 9.85 0.318
-111.367 38.9623 8.9 0.318
-112.571 37.7537 0.61 0.322
-112.898 41.4238 0.95 0.514
-111.259 39.3143 12.1 0.296
-112.923 41.4282 1.8 0.272
-111.403 38.9557 6.8 0.34
-110.964 44.7565 5.67 0.016
-111.223 39.2893 8.62 0.304
-111.083 44.7193 7 0.176
-111.084 44.7167 4.81 0.144
-111.079 44.726 8.77 0.314
-111.062 44.7272 8.02 0.042
-111.075 44.7263 9 0.096
-111.088 44.7163 4.81 0.238
-111.09 44.7197 3.04 -1.998
-111.081 44.7158 4.44 0.226
-111.076 44.724 9.17 0.03
-111.073 44.7228 9.21 0.158
-111.069 44.7258 8.74 0.096
-111.087 44.7295 8.15 0.07
-111.075 44.7197 8.49 0.036
-111.075 44.719 8.25 0.002
-111.086 44.732 7.95 0.082
-111.078 44.7248 13.07 0.268
-111.083 44.7285 8.49 0.11
-111.084 44.7325 8.41 0.046
-111.083 44.728 8.46 0.128
-111.061 44.7243 7.27 0.106
-111.062 44.725 8.15 0.01
-111.089 44.728 10.6 0.07
-111.07 44.7227 8.53 0.032
-111.085 44.7275 7.65 0.262
-111.081 44.7268 9.11 0.162
-111.081 44.7257 8.3 -1.998
-111.075 44.7275 8.55 0.088
-111.082 44.7218 8.47 0.28
-111.081 44.7262 7.67 0.218
-111.073 44.7233 5.44 0.016
-111.075 44.7285 7.58 0.106
-111.089 44.7248 7.23 0.268
-111.068 44.7252 6.6 0.064
-111.082 44.7287 7.7 0.086
-111.086 44.7205 5.58 0.386
-111.075 44.7217 9.5 0.152
-111.088 44.7202 5.79 0.386
-111.077 44.7177 12.3 0.338
-111.086 44.7302 8.95 0.066
-111.081 44.7278 9.27 0.254
-111.064 44.7043 1.34 0.272
-111.077 44.725 9.68 0.208
-111.074 44.725 10.79 0.02
-111.089 44.7273 8.51 0.194
-111.082 44.7283 9.16 0.184
-111.081 44.7205 5.57 0.296
-111.085 44.7282 7.33 0.282
-111.078 44.7262 7.76 0.26
-111.084 44.7252 7.76 0.122
-111.079 44.7193 4.81 0.214
-111.069 44.7272 7.94 0.006
-111.075 44.7235 7.04 0.06
-111.08 44.7247 7.33 0.274
-111.076 44.7253 8.81 0.2
-111.073 44.7242 7.78 0.17
-111.079 44.7287 8.26 0.026
-111.084 44.7223 9.27 -0.044
-111.086 44.7172 10.1 0.036
-111.073 44.7233 9.23 0.05
-111.094 44.7315 9.97 0.02
-111.087 44.7277 7.89 0.11
-111.083 44.727 10.48 0.082
-111.094 44.7198 10.42 0.054
-111.092 44.7153 3.24 0.074
-112.322 38.2283 6.96 0.148
-110.981 44.7005 6.51 0.042
-110.816 44.6887 1.48 0.042
-111.225 39.2672 8.26 0.344
-110.97 44.691 3.39 0.09
-110.846 42.9542 0.1 0.324
-111.359 38.9643 6.97 0.304
-111.087 44.7453 3.98 0.188
-111.086 44.747 4.32 0.29
-111.362 38.9652 3.08 0.458
-111.358 38.9572 0.98 0.33
-111.088 44.7458 6.93 -0.044
-111.194 44.6115 10.31 0.15
-110.633 44.7913 2.53 0.106
-111.222 39.2733 7.75 0.29
-111.135 44.611 5.86 0.312
-111.364 38.9607 6.9 0.306
-112.68 38.2573 0.06 0.38
-110.949 44.7573 4.17 0
-111.088 44.7433 3.47 0.156
-112.523 37.8838 1.08 0.264
-111.224 39.2898 8.37 0.274
-111.907 39.3742 5.72 0.198
-109.776 41.5208 6.99 0.85
-111.22 39.29 8.45 0.316
-107.121 40.0953 6.8 0.746
-111.091 44.7573 3.68 0.164
-110.431 44.6528 0.28 0.462
-110.437 44.6467 1.14 0.378
-111.538 42.3678 4.19 0.216
-111.222 39.2828 8.02 0.338
-110.803 44.7397 3.28 0.176
-110.802 44.7417 3.5 0.1
-110.802 44.743 3.88 0.19
-110.801 44.7415 4.2 0.044
-110.784 44.7447 5.18 0.044
-111.085 42.6473 0.54 -1.998
-110.803 44.7407 3.55 0.076
-111.009 44.3073 3.26 0.314
-112.538 38.7665 1.29 0.248
-111.219 39.2867 8.28 0.296
-111.028 44.8013 1.45 0.094
