shot	time	lat	lon	depth
209	94:173:00:16:56.464	40.939476	-125.690773	7.5
210	94:173:00:17:16.960	40.939377	-125.69017	7.5
211	94:173:00:17:37.347	40.93927	-125.689568	7.5
212	94:173:00:17:57.616	40.939156	-125.688972	7.5
213	94:173:00:18:17.714	40.93906	-125.688408	7.5
214	94:173:00:18:37.695	40.938942	-125.687843	7.5
215	94:173:00:18:57.582	40.93882	-125.687294	7.5
216	94:173:00:19:17.398	40.938694	-125.686745	7.5
217	94:173:00:19:37.204	40.93858	-125.686188	7.5
218	94:173:00:19:57.052	40.938473	-125.685631	7.5
219	94:173:00:20:16.960	40.938362	-125.685043	7.5
220	94:173:00:20:36.928	40.938251	-125.684448	7.5
221	94:173:00:20:56.985	40.938126	-125.683853	7.5
222	94:173:00:21:17.122	40.937996	-125.683258	7.5
223	94:173:00:21:37.331	40.937893	-125.682655	7.5
224	94:173:00:21:57.603	40.937778	-125.682053	7.5
225	94:173:00:22:17.865	40.937683	-125.68145	7.5
226	94:173:00:22:38.133	40.937565	-125.680862	7.5
227	94:173:00:22:58.351	40.937447	-125.680275	7.5
228	94:173:00:23:18.544	40.937325	-125.679688	7.5
229	94:173:00:23:38.679	40.937214	-125.679092	7.5
230	94:173:00:23:58.727	40.937103	-125.678513	7.5
231	94:173:00:24:18.703	40.937004	-125.677933	7.5
232	94:173:00:24:38.612	40.936886	-125.677368	7.5
233	94:173:00:24:58.480	40.936764	-125.676804	7.5
234	94:173:00:25:18.337	40.936638	-125.676231	7.5
235	94:173:00:25:38.210	40.936508	-125.675659	7.5
236	94:173:00:25:58.088	40.93639	-125.675079	7.5
237	94:173:00:26:17.989	40.936264	-125.674522	7.5
238	94:173:00:26:37.984	40.936157	-125.673943	7.5
239	94:173:00:26:58.031	40.936058	-125.67337	7.5
240	94:173:00:27:17.859	40.935955	-125.672798	7.5
241	94:173:00:27:37.702	40.935848	-125.672234	7.5
242	94:173:00:27:57.529	40.935753	-125.671661	7.5
243	94:173:00:28:17.343	40.935654	-125.671082	7.5
244	94:173:00:28:37.180	40.935543	-125.670502	7.5
245	94:173:00:28:57.051	40.935429	-125.669922	7.5
246	94:173:00:29:16.929	40.93531	-125.66935	7.5
247	94:173:00:29:36.846	40.935204	-125.668777	7.5
248	94:173:00:29:56.834	40.935097	-125.668205	7.5
249	94:173:00:30:16.862	40.93499	-125.667633	7.5
250	94:173:00:30:36.958	40.934879	-125.667046	7.5
251	94:173:00:30:57.104	40.934772	-125.666458	7.5
252	94:173:00:31:17.294	40.934662	-125.665863	7.5
253	94:173:00:31:37.555	40.934566	-125.665268	7.5
254	94:173:00:31:57.807	40.934441	-125.66468	7.5
255	94:173:00:32:18.084	40.934334	-125.664093	7.5
256	94:173:00:32:38.384	40.934231	-125.663513	7.5
257	94:173:00:32:58.677	40.934128	-125.662933	7.5
258	94:173:00:33:18.968	40.934025	-125.662338	7.5
259	94:173:00:33:39.256	40.933929	-125.661743	7.5
260	94:173:00:33:59.508	40.933842	-125.661148	7.5
261	94:173:00:34:19.723	40.933746	-125.660553	7.5
262	94:173:00:34:39.907	40.933659	-125.659958	7.5
263	94:173:00:35:00.045	40.933548	-125.65937	7.5
264	94:173:00:35:20.136	40.933456	-125.65876	7.5
265	94:173:00:35:40.182	40.933357	-125.658165	7.5
266	94:173:00:36:00.180	40.93325	-125.657562	7.5
267	94:173:00:36:20.127	40.933159	-125.656982	7.5
268	94:173:00:36:40.054	40.933056	-125.656418	7.5
269	94:173:00:36:59.963	40.932945	-125.655846	7.5
270	94:173:00:37:19.869	40.932835	-125.655251	7.5
